# JLPT 词汇级别表 —— server/scripts/buildJlptVocab.ts 生成，勿手改。
# 出題基準語彙表 https://www7a.biglobe.ne.jp/nifongo/data/noryoku.html
# JLPT Resources by Jonathan Waller (CC BY) http://www.tanos.co.uk/jlpt/
#   词形经 https://github.com/stephenmk/yomitan-jlpt-vocab 按 JMdict 校正
ずぶ濡れ	1
ずらす	2
ずらっと	1
ずらり	2
ずるずる	1
ずれ	1
ずれる	2
せっけん	5
せっせと	2
せめて	2
ぜひ	4
ぜひとも	2
そう	245
そういえば	2
そうして	5
そうっと	2
そう言えば	2
そこで	23
そして	25
そそっかしい	2
そちら	5
そっくり	23
そっち	5
そっと	23
そのうえ	2
そのうち	3
そのころ	2
そのため	2
そのほか	2
そのまま	3
その上	1
その内	1
その外	1
その為	1
それ	25
それから	5
それぞれ	3
それで	4
それでは	15
それでも	3
それと	3
それとも	3
それなのに	2
それに	4
それはいけませんね	4
それほど	4
そろそろ	4
そんな	4
そんなに	4
ぞんざい	1
たくさん	5
たくましい	1
たちまち	2
たった	3
たっぷり	23
たばこ	5
たびたび	3
たまに	4
たまらない	3
ためらう	2
たれ	1
たんす	2
だから	4
だが	23
だけ	5
だけど	23
だったら	1
だって	23
だと	1
だぶだぶ	1
だます	2
だめ	4
だらけ	12
だらしない	2
だらし無い	2
だるい	1
だんだん	5
ちっとも	4
ちっとも塵とも	4
ちゃわん	5
ちゃん	4
ちゃんと	23
ちやほや	1
ちょくちょく	1
ちょっと	5
ちらっと	1
つまずく	2
つまらない	5
つまり	3
てっきり	1
てんで	1
て仕舞う	4
で	2
でかい	1
できるだけ	4
できれば	3
ですから	23
でたらめ	2
では	25
ではお元気で	5
でも	5
と	1
とうとう	4
とぎれる	1
とこや	4
ところが	3
ところで	3
とっくに	2
とても	5
とにかく	3
ともかく	2
とり肉	5
とんだ	1
とんでもない	23
どう	5
どうか	23
どうして	5
どうしても	23
どうせ	2
どうぞ	5
どうぞよろしく	2
どうぞ宜しく	1
どうにか	12
どうも	5
どうも有難う御座居ます	5
どうも有難う御座居ます有難う御座居ました	5
どうやら	1
どきどき	2
どこ	5
どこか	3
どちら	5
どっち	5
どっと	2
どなた	5
どなる	2
どれ	5
どんどん	4
どんな	35
どんなに	23
なかなか	3
なぐる	2
なさる	4
なぜ	5
なぜなら	3
なだらか	2
など	5
なにしろ	2
なにも	3
なる	5
なるべく	4
なるほど	4
なんか	1
なんだかんだ	1
なんて	2
なんとなく	2
なんとも	2
におい	4
にこにこ	2
にっこり	23
にも拘らず	1
に取って	2
に就いて	4
に拠ると	4
ぬれる	4
ね	2
ねえ	2
ねじ	2
ねじ回し	1
ねだん	4
